"Match","Date","Event","Radiant","Dire","Winner","Round","Game","Time","Kill Score"
"991590430","10/29/14","The Summit 2 Europe Qualifier","NaVi","C9","DIRE","Group Stage","1","48.82","20 - 51"
"982487922","10/25/14","StarSeries X Finals","NaVi","C9","DIRE","LB Quarterfinals","1","59.67","15 - 37"
"915705772","09/23/14","D2CL 4 Europe Qualifier","NaVi","C9","DIRE","Group Stage","1","51.22","22 - 42"
"875879763","09/05/14","WEC Final","NaVi","C9","DIRE","UB Semifinals","2","56.83","32 - 35"
"875699110","09/05/14","WEC Final","C9","NaVi","RADIANT","UB Semifinals","1","44.45","22 - 30"
"867938727","08/31/14","StarSeries X Europe","C9","NaVi","RADIANT","Group Stage","1","31.67","24 - 13"
"785453168","07/19/14","The International 2014","C9","NaVi","RADIANT","LB Round of 16","3","31.73","38 - 12"
"785389859","07/19/14","The International 2014","NaVi","C9","RADIANT","LB Round of 16","2","21.42","23 - 9"
"785298771","07/19/14","The International 2014","C9","NaVi","RADIANT","LB Round of 16","1","33.92","21 - 9"
"768904872","07/10/14","The International 2014","NaVi","C9","RADIANT","Group Stage","1","44.20","34 - 23"
"652992527","05/10/14","DreamLeague Season 1 Prelims","C9","NaVi","RADIANT","Group Stage","1","41.15","32 - 21"
"611936738","04/15/14","D2CL 2","NaVi","C9","RADIANT","Finals","4","24.67","33 - 4"
"611877061","04/15/14","D2CL 2","C9","NaVi","DIRE","Finals","3","30.72","12 - 25"
"611804398","04/15/14","D2CL 2","C9","NaVi","RADIANT","Finals","2","32.38","26 - 12"
"611720889","04/15/14","D2CL 2","C9","NaVi","DIRE","Finals","1","33.02","16 - 19"
"599732001","04/07/14","D2L Western Challenge","NaVi","C9","DIRE","Group Stage","3","21.00","12 - 25"
"599680090","04/07/14","D2L Western Challenge","C9","NaVi","RADIANT","Group Stage","2","45.23","45 - 21"
"599620767","04/07/14","D2L Western Challenge","C9","NaVi","DIRE","Group Stage","1","39.07","28 - 29"
"591663567","04/02/14","StarSeries IX Prelims: Europe","NaVi","C9","RADIANT","Group Stage","1","34.97","29 - 17"
"536142990","02/23/14","D2CL 2","NaVi","C9","RADIANT","Group Stage","3","28.53","26 - 16"
"536083286","02/23/14","D2CL 2","C9","NaVi","DIRE","Group Stage","2","23.32","8 - 20"
"536028045","02/23/14","D2CL 2","NaVi","C9","DIRE","Group Stage","1","20.13","6 - 11"